id,variationProductId,name,brand,productEAN,productMerchandiseCategory,productBadges,productColor,productColorRefinement,productRating,productSize,customDimension1,promotionCallOutMessage,variant,category,primaryCategoryId,productSecondaryNavigationCategory,productCategoryLevel1,productCategoryLevel2,productCategoryLevel3,productCategoryLevel4,productCategoryLevel5,productCategoryLevel6,productCategoryLevel7,productChannelType,price,productThenPrice
N178458,N178458,Samsung 32L Sensor Microwave - Black Stainless,Samsung,8801643757632,na,hot-price,na,na,3.6,na,,na,False,appliances/appliances-smallkitchenappliances/appliances-smallkitchenappliances-microwaves,appliances-smallkitchenappliances-microwaves,hotdeals/hotdeals-appliances/hotdeals-appliances-smallappliances|kingsbirthday/kingsbirthday-appliances/kingsbirthday-appliances-largeappliances|boxingday/boxingday-deals/boxingday-deals-30off|brandstore/brandstore-samsung/brandstore-samsung-bettertogether|newyeardeals/newyeardeals-appliances|boxingday/boxingday-appliances/boxingday-appliances-largeappliances|brandstore/brandstore-samsung/brandstoresamsung-homeappliance|MTE-Placeholders/eastersale/eastersale-appliances/eastersale-appliances-smallappliances|MTE-Placeholders/blackfriday/blackfriday-appliances/blackfriday-appliances-largeappliances|newyeardeals/newyeardeals-flashsale/newyeardeals-flashsale-25poff|boxingday/boxingday-appliances/boxingday-appliances-smallappliancesvacuums|MTE-Placeholders/blackfriday/blackfriday-appliances/blackfriday-appliances-smallappliances|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto25off|MTE-Placeholders/eastersale/eastersale-appliances/eastersale-appliances-largeappliances,appliances,appliances-smallkitchenappliances,appliances-smallkitchenappliances-microwaves,na,na,na,na,all channels,289.00,289.00
N219697,N219697,Samsung Galaxy Z Flip5 256GB - Lavender,Samsung,8806095122434,na,badge_bonus-item-click|hot-price|badge_lowstock,na,na,4.6,na,,na,False,mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-smartphones/mobilesmartdevices-phones-smartphones-android,mobilesmartdevices-phones-smartphones-android,MTE-Placeholders/supersale/supersale-mobilephonestablets|mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-smartphones/mobilesmartdevices-phones-smartphones-android/mobilesmartdevices-phones-smartphones-android-samsunggalaxy|dailydeals/dailydeals-16Dec23|giftingguide|giftingguide/giftingguide-forher|boxingday/boxingday-mobilephonestablets|MTE-Placeholders/blackfriday/blackfriday-mobilesmartdevices/blackfriday-mobilesmartdevices-smartphones|brandstore/brandstore-samsung/brandstoresamsung-phones/brandstoresamsung-newrelease-flipandfold|newyeardeals/newyeardeals-mobilephones|giftingguide/giftingguide-toptechgifts|brandstore/brandstore-samsung/brandstoresamsung-phones/brandstoresamsung-newrelease-flip5|hotdeals/hotdeals-mobilephonestablets|MTE-Placeholders/blackfriday/blackfriday-mobilephonestablets/blackfriday-mobilephones|MTE-Placeholders/eastersale/eastersale-mobilephonestablets,mobilesmartdevices,mobilesmartdevices-phones,mobilesmartdevices-phones-smartphones,mobilesmartdevices-phones-smartphones-android,na,na,na,all channels,1749.00,1749.00
N201181,N201181,GoPro Sleeve + Lanyard for Hero 9 & Hero 10 Cameras,GoPro,818279024050,na,hot-price,na,na,4.5,na,,na,False,photovideo/photovideo-videography/photovideo-videography-actioncameraaccessories,photovideo-videography-actioncameraaccessories,massivesellout/massivesellout-deals/massivesellout-deals-20off|MTE-Placeholders/eastersale/eastersale-moregreatdeals|queensbirthday/queensbirthday-photovideo|hotdeals/hotdeals-instantcamerasdronesaccessories|birthdaydeals/birthdaydeals-photovideo|massivesellout/massivesellout-photovideo|massivesellout/massivesellout-techaccessories,photovideo,photovideo-videography,photovideo-videography-actioncameraaccessories,na,na,na,na,all channels,34.00,34.00
N223920,N223920,Samsung Galaxy Tab S9 FE+ 12.4 WIFI 128GB Light Silver,Samsung,8806095159119,na,badge_lowstock,na,na,na,na,,na,False,mobilesmartdevices/mobilesmartdevices-tabletsereaders/mobilesmartdevices-tabletsereaders-tablets/mobilesmartdevices-tabletsereaders-tablets-android,mobilesmartdevices-tabletsereaders-tablets-android,brandstore/brandstore-samsung/brandstoresamsung-tablets/brandstoresamsung-newrelease-galaxytabs9fe|byod/byod-androidtablets,mobilesmartdevices,mobilesmartdevices-tabletsereaders,mobilesmartdevices-tabletsereaders-tablets,mobilesmartdevices-tabletsereaders-tablets-android,na,na,na,all channels,1149.00,1149.00
N223332,N223332,3SIXT NeoWallet Samsung A05 Case - Black,3SIXT,9318018160236,na,hot-price,na,na,5,na,,na,False,mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-smartphonecasesscreenprotectors,mobilesmartdevices-phones-smartphonecasesscreenprotectors,boxingday/boxingday-deals/boxingday-deals-20off|boxingday/boxingday-techaccessories|mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-smartphonecasesscreenprotectors/mobilesmartdevices-phones-smartphonecasesscreenprotectors-samsung,mobilesmartdevices,mobilesmartdevices-phones,mobilesmartdevices-phones-smartphonecasesscreenprotectors,na,na,na,na,all channels,39.99,49.99
N191348,N191348,Samsung T7 Portable SSD - 2TB Metallic Red,Samsung,8806090312441,na,badge_lowstock,na,na,4.2,na,,na,False,computersofficetech/computersofficetech-storagememory/computersofficetech-storagememory-harddrives,computersofficetech-storagememory-harddrives,waitangisale/waitangisale-techaccessories|hiddenCategories/backorder,computersofficetech,computersofficetech-storagememory,computersofficetech-storagememory-harddrives,na,na,na,na,all channels,379.00,379.00
N145439,N145439,Uniden SSE30 Big Button Corded Telephone,Uniden,9322402011622,na,na,na,na,4.6,na,,na,False,appliances/appliances-householdappliances/appliances-householdappliances-landlineshomephones,appliances-householdappliances-landlineshomephones,mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-landlineshomephones|computersofficetech/computersofficetech-landlineshomephones,appliances,appliances-householdappliances,appliances-householdappliances-landlineshomephones,na,na,na,na,all channels,59.99,59.99
N202008,N202008,Targus Click-In Case for Samsung Tab A7 - Black,Targus,092636353216,na,badge_clearance,na,na,3.3,na,,na,False,mobilesmartdevices/mobilesmartdevices-tabletsereaders/mobilesmartdevices-tabletsereaders-tabletcasesscreenprotectors,mobilesmartdevices-tabletsereaders-tabletcasesscreenprotectors,hiddenCategories/fy23-doxing-bay|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-20off|clearance/clearance-moreclearancedeals|newyearsale/newyearsale-moregreatdeals|boxingday/boxingday-techaccessories|MTE-Placeholders/blackfriday/blackfriday-mobilesmartdevices/blackfriday-mobilesmartdevices-tabletsereaders|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-20off|birthdaydeals/birthdaydeals-techaccessories|MTE-Placeholders/eastersale/eastersale-techaccessories|MTE-Placeholders/blackfriday/blackfriday-techaccessories|boxingday/boxingday-deals/boxingday-deals-20off|clearance/clearance-mobilesmartdevices/clearance-mobilesmartdevices-tabletsereaders,mobilesmartdevices,mobilesmartdevices-tabletsereaders,mobilesmartdevices-tabletsereaders-tabletcasesscreenprotectors,na,na,na,na,all channels,27.97,27.97
N151199,N151199,Nespresso DeLonghi Essenza Mini Coffee Machine Pure White,Nespresso,8004399332027,na,na,na,na,4.9,na,,na,False,appliances/appliances-smallkitchenappliances/appliances-smallkitchenappliances-coffeemachinesgrinders,appliances-smallkitchenappliances-coffeemachinesgrinders,massivesellout/massivesellout-deals/massivesellout-deals-20off|MTE-Placeholders/blackfriday/blackfriday-appliances/blackfriday-appliances-smallappliances|fathersday/fathersday-chefdad|massivesellout/massivesellout-appliances/massivesellout-appliances-smallappliancespersonalcare|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-20off|hiddenCategories/backorder|boxingday/boxingday-appliances/boxingday-appliances-smallappliancesvacuums,appliances,appliances-smallkitchenappliances,appliances-smallkitchenappliances-coffeemachinesgrinders,na,na,na,na,all channels,379.99,379.99
N228174,N228174,Sandisk Extreme Pro 256GB SD Card,Sandisk,619659188658,na,hot-price,na,na,5,na,,na,False,photovideo/photovideo-cameraaccessories/photovideo-cameraaccessories-memorycards,photovideo-cameraaccessories-memorycards,anzacsale/anzacsale-techaccessories|waitangisale/waitangisale-techaccessories|boxingday/boxingday-techaccessories|massivesellout/massivesellout-deals/massivesellout-deals-30off|massivesellout/massivesellout-techaccessories|anzacsale/anzacsale-deals/anzacsale-deals-20off|hiddenCategories/backorder|boxingday/boxingday-deals/boxingday-deals-30off,photovideo,photovideo-cameraaccessories,photovideo-cameraaccessories-memorycards,na,na,na,na,all channels,142.00,142.00
N165928,N165928,Parmco 90cm Canopy Rangehood,Parmco,9418090547106,na,badge_lowstock,na,na,na,na,,na,False,appliances/appliances-largekitchenappliances/appliances-largekitchenappliances-rangehoods,appliances-largekitchenappliances-rangehoods,hiddenCategories/unmanagedFeeds/unmanagedFeeds-OversizedProducts,appliances,appliances-largekitchenappliances,appliances-largekitchenappliances-rangehoods,na,na,na,na,all channels,1099.00,1099.00
N178507,N178507,Eurotech 30cm Ceramic Cooktop,Eurotech,9418090644294,na,badge_lowstock,na,na,na,na,,na,False,appliances/appliances-largekitchenappliances/appliances-largekitchenappliances-cooktops/appliances-largekitchenappliances-cooktops-ceramiccooktops,appliances-largekitchenappliances-cooktops-ceramiccooktops,boxingday/boxingday-deals/boxingday-deals-20off|MTE-Placeholders/eastersale/eastersale-appliances/eastersale-appliances-largeappliances|newyearsale/newyearsale-appliances|hiddenCategories/backorder|boxingday/boxingday-appliances/boxingday-appliances-largeappliances|MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off|hiddenCategories/unmanagedFeeds/unmanagedFeeds-OversizedProducts|MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off25off|MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off25off/supersale-deals-20offcooking|MTE-Placeholders/supersale/supersale-appliances/supersale-appliances-largeappliances,appliances,appliances-largekitchenappliances,appliances-largekitchenappliances-cooktops,appliances-largekitchenappliances-cooktops-ceramiccooktops,na,na,na,all channels,429.00,429.00
N226791,N226791,DJI Mic 2 - 1 TX - 1 RX,DJI,0190021096479,na,badge_lowstock|hot-price,na,na,na,na,,na,False,photovideo/photovideo-aerialphotography/photovideo-aerialphotography-droneaccessories,photovideo-aerialphotography-droneaccessories,hotdeals/hotdeals-instantcamerasdronesaccessories/hotdeals-instantcamerasdronesaccessories-drones|MTE-Placeholders/eastersale/eastersale-moregreatdeals|MTE-Placeholders/giantdeals/giantdeals-accessories,photovideo,photovideo-aerialphotography,photovideo-aerialphotography-droneaccessories,na,na,na,na,all channels,429.00,429.00
N220698,N220698,Smeg 60cm Multizone Induction Cooktop,Smeg,8017709305567,na,badge_lowstock,na,na,na,na,,na,False,appliances/appliances-largekitchenappliances/appliances-largekitchenappliances-cooktops/appliances-largekitchenappliances-cooktops-inductioncooktops,appliances-largekitchenappliances-cooktops-inductioncooktops,MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto20off|MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off25off/supersale-deals-20offcooking|MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off25off|newyeardeals/newyeardeals-flashsale/newyeardeals-flashsale-20poff|hiddenCategories/unmanagedFeeds/unmanagedFeeds-OversizedProducts|MTE-Placeholders/supersale/supersale-appliances/supersale-appliances-largeappliances|MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off,appliances,appliances-largekitchenappliances,appliances-largekitchenappliances-cooktops,appliances-largekitchenappliances-cooktops-inductioncooktops,na,na,na,all channels,2399.00,2399.00
N213739,N213739,Fujifilm instax mini Link 2 - Space Blue,Fujifilm,4547410476460,na,na,na,na,na,na,,na,False,photovideo/photovideo-instantphotography/photovideo-instantphotography-photoprinters,photovideo-instantphotography-photoprinters,boxingday/boxingday-morexmasdeals|mothersday/mothersday-techiemum|giftingguide/giftingguide-toptechgifts|giftingguide/giftingguide-portabletech|giftingguide/giftingguide-summeressentials|giftingguide|MTE-Placeholders/eastersale/eastersale-moregreatdeals|birthdaydeals/birthdaydeals-photovideo|giftingguide/giftingguide-forher|giftingguide/giftingguide-forhim|labourweekenddeals/labourweekenddeals-moregreatdeals|giftingguide/giftingguide-forkids|newyeardeals/newyeardeals-photography|massivesellout/massivesellout-photovideo,photovideo,photovideo-instantphotography,photovideo-instantphotography-photoprinters,na,na,na,na,all channels,229.99,229.99
N227129,N227129,Lenovo Keyboard Pack for Tab P12 12.7 inch 3K Storm Grey,Lenovo,0197529648148,na,hot-price,na,na,na,na,,na,False,mobilesmartdevices/mobilesmartdevices-tabletsereaders/mobilesmartdevices-tabletsereaders-tabletaccessories,mobilesmartdevices-tabletsereaders-tabletaccessories,hotdeals/hotdeals-techaccessories,mobilesmartdevices,mobilesmartdevices-tabletsereaders,mobilesmartdevices-tabletsereaders-tabletaccessories,na,na,na,na,all channels,159.20,159.20
N185331,N185331,Canon PG660XLOCN Ink XL - Black,Canon,4549292144673,na,na,na,na,5,na,,na,False,computersofficetech/computersofficetech-printing/computersofficetech-printing-printerinktoner,computersofficetech-printing-printerinktoner,MTE-Placeholders/supersale/supersale-deals/supersale-deals-20off|byod/byod-accessories|MTE-Placeholders/supersale/supersale-officetech/supersale-officetech-printersink|massivesellout/massivesellout-deals/massivesellout-deals-20off|MTE-Placeholders/blackfriday/blackfriday-computersofficetech/blackfriday-computersofficetech-printing/blackfriday-printersinktoner-1|MTE-Placeholders/blackfriday/blackfriday-computersprinters/blackfriday-printersinktoner|MTE-Placeholders/blackfriday/blackfriday-computersprinters|computersofficetech/computersofficetech-printing/computersofficetech-printing-printerinktoner/computersofficetech-printing-printerinktoner-ink|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-20off|boxingday/boxingday-computersprinting|massivesellout/massivesellout-computersofficetech/massivesellout-computersofficetech-printersandink|boxingday/boxingday-deals/boxingday-deals-20off|labourweekenddeals/labourweekenddeals-deals/labourweekenddeals-deals-20off|labourweekenddeals/labourweekenddeals-computersofficetech/labourweekenddeals-computersofficetech-printersink,computersofficetech,computersofficetech-printing,computersofficetech-printing-printerinktoner,na,na,na,na,all channels,54.99,54.99
